,BuildingID,ViolationID
16179,289024,88
17397,301199,88
46670,806245,88
11116,221457,88
33489,473735,88
2101,116088,88
15066,27964,88
28751,397373,88
26134,373846,88
3654,125738,88
19066,315782,88
11589,226519,88
28718,397061,88
54086,94284,88
9705,210023,88
1831,113688,87
13145,247121,87
13720,257010,87
40803,65822,87
41929,67453,87
26433,375361,87
334,101924,87
53672,93602,87
22263,344341,87
48598,81790,87
2017,115544,87
16596,292826,87
48546,817281,87
16598,292833,87
14912,277854,87
39350,631792,87
12997,244775,87
16874,296158,87
32013,43791,87
1344,109960,87
672,104601,87
22817,347638,87
45232,776643,87
41088,66276,87
24866,3630,87
44693,74898,87
1124,108934,87
23187,349862,87
18891,314098,87
55405,96760,87
3629,125650,87
446,102957,87
38014,59183,87
13086,246410,86
22214,344023,86
47361,8087,86
15952,287556,86
21704,339742,86
39835,640775,86
46074,804020,86
41425,66759,86
608,104386,86
40811,658472,86
16606,292843,86
18406,309621,86
28092,388966,86
23764,354057,86
33495,4739,86
35325,51706,86
16724,294862,86
27752,385216,86
36850,5582,86
50839,879907,86
2760,119093,86
32693,45458,86
49045,8255,86
24902,363195,86
32710,45485,86
28215,391026,86
37465,574843,85
1608,111947,85
14435,27002,85
13510,252894,85
46976,807367,85
16365,29033,85
41642,67066,85
38250,59926,85
29741,41469,85
19831,323809,85
20150,326554,85
39563,63481,85
35504,52028,85
3125,120954,85
35604,52288,85
40809,65840,85
1381,110127,85
54797,95437,85
36197,5390,85
5238,145453,85
39105,62805,85
51492,89061,85
16022,287725,85
17355,300675,85
50082,858560,85
41972,675110,85
41561,66889,85
38541,60539,84
38688,60994,84
28155,389886,84
45937,80051,84
34638,50422,84
1656,112079,84
34647,504319,84
31624,43338,84
25914,372323,84
13742,25755,84
1081,108597,84
42402,683198,84
53277,930256,84
1548,111312,84
56131,97763,84
4955,140742,84
53933,94062,84
20247,327134,84
20268,327256,84
28435,394885,84
46873,806815,84
45842,79728,84
20508,32921,84
46894,806887,84
51055,883806,84
2299,116879,84
1355,110036,84
27594,383439,84
2010,115529,84
44904,76175,84
12926,243836,84
28090,388952,84
9680,209769,84
31405,431854,83
11503,225855,83
47076,807749,83
23061,34902,83
3281,122006,83
22113,343150,83
23487,352118,83
40360,65112,83
2103,116090,83
48604,81795,83
56039,97625,83
52947,92542,83
11095,221353,83
24957,363522,83
13116,246839,83
48573,81755,83
42482,684575,83
8764,198159,83
18910,314197,83
31323,431212,83
1638,112024,83
8072,188335,83
5447,14822,83
50787,8788,83
46922,806973,83
10325,21516,83
40314,65034,83
29899,41677,83
32567,45123,83
39584,63599,83
55308,966545,83
1083,108617,83
45971,80104,83
12719,240361,83
25825,372021,83
5339,14696,83
32404,44540,83
36826,55768,83
41522,66854,82
26680,37657,82
39965,64340,82
30921,42785,82
48249,812276,82
14294,268546,82
19464,320126,82
9806,210806,82
8797,19855,82
26786,377547,82
38878,6182,82
23866,355094,82
38259,59940,82
8555,19547,82
21361,337074,82
38029,59209,82
48533,81715,82
18468,310620,82
35509,520346,82
33167,46541,82
49537,84191,82
182,100587,82
40285,649930,82
188,10061,82
38539,60535,82
34246,49426,82
37305,56982,82
13117,246844,82
48607,81798,82
46797,806561,82
14346,268936,82
39215,629365,82
44245,72658,82
21676,339532,82
1041,108467,82
15074,27973,81
39646,63747,81
47623,809564,81
13343,249571,81
13330,249539,81
9646,209491,81
9355,206216,81
54149,94378,81
597,104356,81
9448,207571,81
49595,84284,81
35367,51789,81
38471,60444,81
7647,183729,81
37862,587432,81
2318,116931,81
31890,43645,81
38629,60865,81
46258,804679,81
32393,445352,81
26404,375194,81
25808,371971,81
17791,304702,81
46679,806266,81
28125,389377,81
