BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses
1014060054,"$205,380.00","$1,842,901.00","$2,048,281.00",$0.00,"$494,652.00",$0.00,"$2,553,133.00","$3,000.00","$1,533,615.00"
3065580008,"$205,377.00",$0.00,"$205,377.00",$0.00,$0.00,"$137,427.00","$361,804.00",$0.00,"$182,655.00"
3061090046,"$205,062.00",$0.00,"$205,062.00",$0.00,$0.00,$0.00,"$205,062.00",$0.00,"$114,361.00"
1009090038,"$204,981.00","$114,732.00","$319,713.00",$0.00,"$60,322.00",$0.00,"$380,035.00",$0.00,"$196,336.00"
4013050001,"$204,898.00","$325,968.00","$530,866.00",$0.00,$0.00,$0.00,"$530,866.00",$0.00,"$280,575.00"
1007410061,"$204,887.00","$95,190.00","$300,077.00",$0.00,$0.00,$0.00,"$300,077.00","$1,472.00","$112,699.00"
1015820104,"$204,875.00",$0.00,"$204,875.00",$0.00,$0.00,$0.00,"$204,984.00",$0.00,"$51,405.00"
4095380045,"$204,756.00",$0.00,"$204,756.00",$0.00,$0.00,$0.00,"$219,444.00",$0.00,"$120,161.00"
1004930009,"$204,692.00",$0.00,"$204,692.00",$0.00,"$5,002.00",$0.00,"$215,799.00","$2,119.00","$192,913.00"
4006870024,"$204,685.00",$0.00,"$204,685.00",$0.00,$0.00,$0.00,"$204,685.00",$0.00,"$109,659.00"
1021650043,"$204,678.00",$0.00,"$204,678.00",$0.00,"$112,200.00",$0.00,"$316,878.00","$1,800.00","$234,645.00"
3052200050,"$204,576.00",$0.00,"$204,576.00",$0.00,$0.00,$0.00,"$204,576.00",$0.00,"$178,243.00"
3054220019,"$204,539.00",$0.00,"$204,539.00",$0.00,$0.00,$754.00,"$205,293.00",$0.00,"$59,299.00"
1007600062,"$204,452.00",$0.00,"$204,452.00",$0.00,"$39,338.00",$0.00,"$243,790.00",$0.00,"$93,589.00"
1004480019,"$204,435.00","$164,445.00","$368,880.00",$0.00,$0.00,$0.00,"$368,880.00",$0.00,"$131,619.00"
1005050026,"$204,383.00","$188,900.00","$393,283.00",$0.00,$0.00,$0.00,"$394,087.00",$0.00,"$123,533.00"
1013500130,"$204,216.00","$11,300.00","$215,516.00",$0.00,$0.00,$0.00,"$215,516.00",$0.00,"$104,785.00"
3027760025,"$204,172.00",$0.00,"$204,172.00","$70,701.00","$118,278.00",$0.00,"$436,204.00","$7,093.00","$135,203.00"
1008930015,"$204,098.00",$0.00,"$204,098.00",$0.00,$0.00,$0.00,"$205,322.00","$11,772.00","$135,926.00"
3009740059,"$204,000.00",$0.00,"$204,000.00",$0.00,$0.00,$0.00,"$204,000.00",$0.00,"$166,800.00"
3053510004,"$203,893.00",$0.00,"$203,893.00",$0.00,$0.00,$0.00,"$203,893.00",$0.00,"$74,622.00"
1021290021,"$203,787.00",$0.00,"$203,787.00",$0.00,"$30,642.00",$0.00,"$234,429.00",$0.00,"$136,226.00"
4001560003,"$203,715.00",$0.00,"$203,715.00",$0.00,$0.00,$0.00,"$203,715.00",$0.00,"$57,032.00"
1006290017,"$203,636.00","$103,917.00","$307,553.00",$0.00,$0.00,$0.00,"$307,553.00","$24,802.00","$153,396.00"
1003060019,"$203,598.00",$0.00,"$203,598.00",$0.00,"$101,050.00",$0.00,"$304,648.00",$0.00,"$291,192.00"
1016440051,"$203,460.00","$133,123.00","$336,583.00",$0.00,"$287,624.00",$0.00,"$624,207.00",$0.00,"$320,327.00"
4008280074,"$203,440.00",$0.00,"$203,440.00",$0.00,$0.00,$0.00,"$203,440.00",$0.00,"$102,837.00"
3027630014,"$203,412.00",$0.00,"$203,412.00",$0.00,"$19,125.00",$0.00,"$237,937.00",$0.00,"$175,251.00"
1004520046,"$203,171.00","$147,124.00","$350,295.00",$0.00,"$63,479.00",$0.00,"$421,805.00","$10,784.00","$152,277.00"
3007180039,"$203,157.00",$0.00,"$203,157.00",$0.00,$0.00,$0.00,"$203,157.00","$4,090.00","$118,051.00"
3042490016,"$203,018.00",$0.00,"$203,018.00",$0.00,"$16,855.00",$0.00,"$236,067.00",$0.00,"$138,095.00"
3061250018,"$202,992.00",$0.00,"$202,992.00",$0.00,"$92,803.00",$0.00,"$295,795.00",$0.00,"$152,391.00"
3061090049,"$202,883.00",$0.00,"$202,883.00",$0.00,$0.00,$0.00,"$202,883.00",$0.00,"$114,143.00"
1021200023,"$202,844.00",$0.00,"$202,844.00",$0.00,$0.00,$0.00,"$202,844.00",$0.00,"$135,521.00"
2024570007,"$202,843.00",$0.00,"$202,843.00",$0.00,$0.00,"$75,709.00","$278,552.00",$0.00,"$193,258.00"
3056570007,"$202,667.00",$0.00,"$202,667.00",$0.00,$0.00,"$47,678.00","$250,345.00",$0.00,"$158,587.00"
4006250014,"$202,658.00",$0.00,"$202,658.00",$0.00,$0.00,$0.00,"$202,658.00",$0.00,"$137,392.00"
